State/UT Name,District Name,Total Coal mining jobs (Direct + Indirect Jobs),Total Power plant  jobs (Direct + Indirect Jobs),Total Coal Jobs (Direct + Indirect),Total Pensioners ,DMF USD (in Million $),Mining CSR (in lakhs),CSR Power Plant CSR (in lakhs),CSR total (in lakhs),CSR ( in cr),CSR  USD (in Million $)
Jharkhand,Dhanbad,489394,4508,493901,70301,37,6688.14,0,6688.14,66.8814,9.363396
Chhattisgarh,Korba,363591,23397,386988,14861,62,111.81,954.75,1066.56,10.6656,1.493184
West Bengal,Paschim Bardhaman,273408,4848,278256,65447,1,554.61,0,554.61,5.5461,0.776454
Jharkhand,Chatra,226763,0,226763,1996,15,671.49,0,671.49,6.7149,0.940086
Odisha,Angul,175229,18909,194139,6613,47,11975.64,1180,13155.64,131.5564,18.417896
Jharkhand,Bokaro,118263,6566,124829,23828,13,227.52,0,227.52,2.2752,0.318528
Odisha,Jharsuguda,96668,16174,112841,5931,23,1437.89,0,1437.89,14.3789,2.013046
Telangana,Mancherial,97161,0,97161,0,9,3.456666667,0,3.456666667,0.034566667,0.004839333
Maharashtra,Nagpur,68230,20345,88574,13623,11,382.29,560,942.29,9.4229,1.319206
Maharashtra,Chandrapur,72348,15876,88224,4752,14,455.27,70,525.27,5.2527,0.735378
Telangana,Bhadradri Kothagudem,84255,0,84255,0,15,3.456666667,0,3.456666667,0.034566667,0.004839333
Jharkhand,Godda,72190,4536,76726,1427,11,313.02,0,313.02,3.1302,0.438228
Madhya Pradesh,Singrauli,47930,28463,76393,0,62,5658.55,809,6467.55,64.6755,9.05457
Tamil Nadu,Cuddalore,58744,13298,72041,0,7,3162.62,425,3587.62,35.8762,5.022668
Jharkhand,Hazaribagh,67872,0,67872,19007,7,41.36,0,41.36,0.4136,0.057904
Telangana,Peddapalli,64695,0,64695,0,20,3.456666667,0,3.456666667,0.034566667,0.004839333
Chhattisgarh,Raigarh,37736,22102,59838,2333,7,38.59,954.75,993.34,9.9334,1.390676
Jharkhand,Ramgarh,55566,180,55746,281,18,398.42,0,398.42,3.9842,0.557788
Uttar Pradesh,Sonbhadra,24627,30362,54989,200,11,3070,930,4000,40,5.6
Odisha,Sundergarh,49672,3317,52989,258,10,687.43,1180,1867.43,18.6743,2.614402
Chhattisgarh,Surguja,52083,0,52083,7488,3,7.5,0,7.5,0.075,0.0105
Jharkhand,Latehar,49365,0,49365,425,1,18.16,0,18.16,0.1816,0.025424
Jharkhand,Ranchi,43697,0,43697,4825,2,2287.56,0,2287.56,22.8756,3.202584
Gujarat,Kutch,12320,27046,39366,0,1,0,253.2,253.2,2.532,0.35448
Chhattisgarh,Korea,38008,0,38008,9210,5,12.37,0,12.37,0.1237,0.017318
Madhya Pradesh,Anuppur,30367,3996,34363,10458,13,85.25,0,85.25,0.8525,0.11935
Maharashtra,Yavatmal,34274,0,34274,1851,7,35.55,0,35.55,0.3555,0.04977
Madhya Pradesh,Shahdol,32223,0,32223,5013,4,0,0,0,0,0
Madhya Pradesh,Betul,23796,3771,27567,8933,2,21.06,0,21.06,0.2106,0.029484
Madhya Pradesh,Chhindwara,18663,0,18663,16891,3,116.58,0,116.58,1.1658,0.163212
Rajasthan,Barmer,14022,3771,17793,0,1,0,0,0,0,0
Maharashtra,Raigad,0,17564,17564,3,0,0,0,0,0,0
Andhra Pradesh,Nellore,0,16641,16641,15,0,0,0,0,0,0
Chhattisgarh,Janjgir Champa,0,16128,16128,4355,0,0,0,0,0,0
Gujarat,Surat,11543,2183,13726,0,1,0,525,525,5.25,0.735
Tamil Nadu,Tiruvallur,0,11813,11813,0,0,0,2,2,0.02,0.0028
Telangana,Nalgonda,0,11680,11680,8,0,0,0,0,0,0
Tamil Nadu,Thoothukudi,0,11052,11052,0,0,0,0,0,0,0
Madhya Pradesh,Umaria,7006,3799,10805,5652,3,4.5,0,4.5,0.045,0.0063
West Bengal,Murshidabad,0,10490,10490,506,0,0,389.33,389.33,3.8933,0.545062
Rajasthan,Baran,0,10319,10319,0,0,0,0,0,0,0
Andhra Pradesh,Visakhapatnam,0,10146,10146,91,0,0,1740,1740,17.4,2.436
Karnataka,Raichur,0,9511,9511,0,0,0,0,0,0,0
Telangana,Karimnagar,1900,7547,9447,24677,3,0,1670,1670,16.7,2.338
Maharashtra,Gondia,0,9356,9356,54,0,0,0,0,0,0
West Bengal,Bankura,2177,6634,8811,2726,0,0,0,0,0,0
Chhattisgarh,Surajpur,8810,0,8810,0,2,115.06,0,115.06,1.1506,0.161084
Jharkhand,Deoghar,8520,0,8520,6372,3,61.17,0,61.17,0.6117,0.085638
Chhattisgarh,Bilaspur,0,8448,8448,3957,0,2197.01,954.75,3151.76,31.5176,4.412464
Haryana,Jhajjar,0,7995,7995,0,0,0,0,0,0,0
Karnataka,Bellary,0,7924,7924,0,0,0,0,0,0,0
Telangana,Komaram Bheem,7579,0,7579,0,4,3.456666667,0,3.456666667,0.034566667,0.004839333
Uttar Pradesh,Prayagraj,0,7484,7484,2071,0,0,938.8,938.8,9.388,1.31432
Andhra Pradesh,Krishna,0,7357,7357,193,0,0,0,0,0,0
West Bengal,Purulia,2365,4820,7184,4903,0,39.04,413.79,452.83,4.5283,0.633962
Madhya Pradesh,Khandwa,0,7144,7144,0,0,0,0,0,0,0
