SL No.,State/UT Name,District Name,Mine Name,Coal/ Lignite Production (MT) (2019-2020),Coal Mine Owner Name,Coal/Lignite,Govt Owned/Private,Type of Mine (OC/UG/Mixed),Latitude ,Longitude ,Source,Accuracy (exact vs approximate),
1,West Bengal,Paschim Bardhaman,Ningah Colliery ,0.01,ECL,Coal,G,UG,23.6743,87.0333,"Google Maps: https://www.google.com/maps/place/NINGAH+COLLIERY+PM+OFFICE/@23.6742772,87.0331657,21z/data=!4m12!1m6!3m5!1s0x39f719bb00000001:0x96caaeb86684e709!2sNINGAH+COLLIERY+PM+OFFICE!8m2!3d23.6742723!4d87.0333025!3m4!1s0x39f719bb00000001:0x96caaeb86684e709!8m2!3d23.6742723!4d87.0333025",Exact,
2,West Bengal,Paschim Bardhaman,Jhanjhara Project Colly,3.5,ECL,Coal,G,UG,23.668,87.2963,"Google Maps: https://www.google.ca/maps/place/1%262+Incline+jhanjra+project+Eastern+Coal+Field+Limited/@23.6675767,87.2936117,17z/data=!4m12!1m6!3m5!1s0x0:0xae7d2a00ed822634!2s1%262+Incline+jhanjra+project+Eastern+Coal+Field+Limited!8m2!3d23.668036!4d87.2963306!3m4!1s0x0:0xae7d2a00ed822634!8m2!3d23.668036!4d87.2963306",Exact,
3,West Bengal,Paschim Bardhaman,"MAOHUSUDANPUR 7 PIT &
INCLINE",0.04,ECL,Coal,G,UG,23.6338,87.2037,"Google Maps: https://www.google.com/maps/place/Madhusudanpur+Colliery+Agent+Office/@23.6337717,87.2037697,20z/data=!4m6!3m5!1s0x39f7135d095c14b5:0xb3f153b696c44596!4b1!8m2!3d23.6337693!4d87.2036798",Approximate: Madhusudanpur Colliery Agent Office,
4,West Bengal,Paschim Bardhaman, PARASCOLE(EAST) ,0.1,ECL,Coal,G,UG,23.6377,87.1951,"Google Maps: https://www.google.com/maps/place/Parashkol,+West+Bengal,+India/@23.6394525,87.1909739,15z/data=!4m5!3m4!1s0x39f713789f5d15a7:0x419844a8cce48698!8m2!3d23.6397604!4d87.1896449",Approximate: center coordinates of eastern Parashkol,
5,West Bengal,Paschim Bardhaman, PARASCOLE(WEST) ,0.07,ECL,Coal,G,UG,23.6405,87.1855,"Google Maps: https://www.google.com/maps/place/Parashkol,+West+Bengal,+India/@23.6394525,87.1909739,15z/data=!4m5!3m4!1s0x39f713789f5d15a7:0x419844a8cce48698!8m2!3d23.6397604!4d87.1896449",Approximate: center coordinates of western Parashkol,
6,West Bengal,Paschim Bardhaman,Jambad UG,0.16,ECL,Coal,G,UG,23.6517,87.1734,"Google Maps: https://www.google.com/maps/place/Jambad+ug+Coolliery/@23.6517347,87.1733076,21z/data=!4m12!1m6!3m5!1s0x39f71549f1303833:0xf83b3d978efebf0!2sJambad+ug+Coolliery!8m2!3d23.6517311!4d87.1734441!3m4!1s0x39f71549f1303833:0xf83b3d978efebf0!8m2!3d23.6517311!4d87.1734441",Exact,
7,West Bengal,Paschim Bardhaman,Khas Kajora,0.17,ECL,Coal,G,UG,23.6205,87.1926,"Google Maps: https://www.google.com/maps/place/Khas+Kajora+Colliery,+West+Bengal+713338,+India/@23.6203007,87.183639,15z/data=!3m1!4b1!4m5!3m4!1s0x39f7136d59713f7d:0x99e73897081c34ab!8m2!3d23.6154993!4d87.1905912",Approximate: center coordinates,
8,West Bengal,Paschim Bardhaman,Central Kajora,0.07,ECL,Coal,G,UG,23.6007,87.1874,"Google Maps: https://www.google.ca/maps/place/Central+kajora+collery/@23.6009279,87.1871913,18z/data=!4m5!3m4!1s0x0:0x418bb7b1f91056b0!8m2!3d23.6006538!4d87.1874249",Approximate: PIN 713321,
9,West Bengal,Paschim Bardhaman, NABAKJORA ,0.06,ECL,Coal,G,UG,23.6346,87.1793,"Google Maps: https://www.google.com/maps/place/NABA+KAJORA+COLLIERY+7+NO.+PIT/@23.6349485,87.1798633,18z/data=!4m5!3m4!1s0x39f713796a373bd7:0x6402485e0c428076!8m2!3d23.6345851!4d87.1792572",Approximate: PIN 713384,
10,West Bengal,Paschim Bardhaman,Satgram Project,0.04,ECL,Coal,G,UG,23.6471,87.1594,"Google Maps: https://www.google.com/maps/place/Sat+gram+project/@23.6471277,87.1589358,19.75z/data=!4m8!1m2!2m1!1sSatgram!3m4!1s0x0:0x2d2044c5ef0546fe!8m2!3d23.6471041!4d87.1593851",Exact,
